"debt" "GDP_grow" "Inflation" "Unemployment" "Opennes" "Public_sector" "Yield" "Labour"
"1995" 21.7 6.8 5.8 12.7 91 48.2 8 4.6
"1996" 30.5 6.8 5.8 12.7 92.4 53.1 8 4.6
"1997" 33 6.1 6 12.7 95.9 48.4 8 7.2
"1998" 33.9 4 6.7 12.7 90.6 45.6 8 4.5
"1999" 47.1 -0.2 10.4 16.5 92.9 47.9 8 2.4
"2000" 49.6 1.2 12.2 18.9 98.2 52 8 3.2
"2001" 48.3 3.3 7.2 19.5 109.4 44.4 8 2.7
"2002" 42.9 4.5 3.5 18.8 111.3 45.1 6.9 4.4
"2003" 41.6 5.4 8.4 17.7 119 39.9 5 4.3
"2004" 40.6 5.3 7.5 18.4 137 37.8 5 5.5
"2005" 34.1 6.8 2.8 16.4 146.5 39.8 3.5 5.1
"2006" 31 8.5 4.3 13.5 163.7 38.8 4.4 6.2
"2007" 30.1 10.8 1.9 11.2 165.3 36.3 4.5 8.5
"2008" 28.5 5.6 3.9 9.6 161.6 36.9 4.7 2.3
"2009" 36.3 -5.4 0.9 12.1 140.5 44.1 4.7 -3.5
"2010" 41.2 5 0.7 14.5 154.1 42.1 3.9 6.7
"2011" 43.7 2.8 4.1 13.7 166.1 40.8 4.4 1
"2012" 52.2 1.7 3.7 14 173.1 40.6 4.6 1.6
"2013" 54.7 1.5 1.5 14.2 181 41.4 3.2 2.3
"2014" 53.6 2.6 -0.1 13.2 183.8 42 2.1 1.1
"2015" 52.6 3.8 -0.3 11.5 190 45.2 0.9 1.8
"2016" 52.5 3.3 -0.5 9.7 193.1 41.5 0.5 0.9
"2017" 51.8 3.4 1.3 8.1 194.4 40.4 0.9 1.2
